orth_,lemma_,tag_,pos_,dep_,head,is_stop,is_punct,is_digit
urzadzenie,urzadzenie,GER,NOUN,nsubj,zagospodarowanie,False,False,False
zieleni,zieleń,SUBST,NOUN,obj,urzadzenie,False,False,False
miejskiej,miejski,ADJ,ADJ,amod,zieleni,False,False,False
miedzy,miedzy,PREP,ADP,case,ul,True,False,False
ul,ul,BREV,X,nmod,urzadzenie,False,False,False
.,.,INTERP,PUNCT,punct,ul,False,True,False
dedala,dedala,SUBST,ADJ,nmod,ul,False,False,False
6,6,NUM,X,nmod,urzadzenie,False,False,True
a,a,CONJ,CCONJ,cc,korona,True,False,False
korona,korona,SUBST,NOUN,conj,urzadzenie,False,False,False
klifu,klif,SUBST,NOUN,nmod:arg,korona,False,False,False
zagospodarowanie,zagospodarowanie,GER,NOUN,ROOT,zagospodarowanie,False,False,False
terenu,teren,SUBST,NOUN,obj,zagospodarowanie,False,False,False
po,po,PREP,ADP,case,baraku,True,False,False
bytym,bytym,ADJ,ADJ,amod,baraku,False,False,False
baraku,barak,SUBST,NOUN,nmod,zagospodarowanie,False,False,False
przy,przy,PREP,ADP,case,ulicy,True,False,False
ulicy,ulica,SUBST,NOUN,nmod,baraku,False,False,False
dedala,dedala,SUBST,ADJ,nmod,ulicy,False,False,False
-,-,INTERP,PUNCT,punct,stworzenie,False,True,False
stworzenie,stworzenie,GER,NOUN,conj,zagospodarowanie,False,False,False
sciezek,sciezek,SUBST,NOUN,obj,stworzenie,False,False,False
",",",",INTERP,PUNCT,punct,ustawienie,False,True,False
ustawienie,ustawienie,GER,NOUN,conj,stworzenie,False,False,False
fawek,fawek,SUBST,NOUN,obj,ustawienie,False,False,False
",",",",INTERP,PUNCT,punct,nasadzenia,False,True,False
nasadzenia,nasadzenia,SUBST,NOUN,conj,stworzenie,False,False,False
zieleni,zieleń,SUBST,NOUN,nmod:arg,nasadzenia,False,False,False
i,i,CONJ,CCONJ,cc,aranzacja,True,False,False
aranzacja,aranzacja,SUBST,NOUN,conj,stworzenie,False,False,False
matej,matej,ADJ,ADJ,amod,architektury,False,False,False
architektury,architektura,SUBST,NOUN,nmod,aranzacja,False,False,False
montaz,montaz,SUBST,NOUN,nmod,aranzacja,False,False,False
fontann,fontanna,SUBST,NOUN,nmod,montaz,False,False,False
wody,woda,SUBST,NOUN,nmod,fontann,False,False,False
pitnej,pitny,ADJ,ADJ,amod,wody,False,False,False
w,w,PREP,ADP,case,punktach,True,False,False
ruchliwych,ruchliwy,ADJ,ADJ,amod,punktach,False,False,False
punktach,punkt,SUBST,NOUN,nmod,aranzacja,False,False,False
dzielnicy,dzielnica,SUBST,NOUN,nmod,punktach,False,False,False
:,:,INTERP,PUNCT,punct,stworzenie,False,True,False
przy,przy,PREP,ADP,case,placu,True,False,False
placu,plac,SUBST,NOUN,obl,dedala,False,False,False
