orth_,lemma_,tag_,pos_,dep_,head,is_stop,is_punct,is_digit
domki,domek,SUBST,NOUN,obj,chronimy,False,False,False
dla,dla,PREP,ADP,case,lato,True,False,False
jeży,jeż,ADJ,PROPN,amod,lato,False,False,False
wolskie,wolski,ADJ,ADJ,amod,lato,False,False,False
lato,lato,SUBST,NOUN,obl:arg,chronimy,False,False,False
filmowe,filmowy,ADJ,ADJ,amod,lato,False,False,False
chronimy,chronić,FIN,VERB,ROOT,chronimy,False,False,False
jerzyki,jerzyk,SUBST,NOUN,obj,chronimy,False,False,False
i,i,CONJ,CCONJ,cc,wróble,True,False,False
wróble,wróbel,SUBST,NOUN,conj,jerzyki,False,False,False
na,na,PREP,ADP,case,woli,True,False,False
woli,wole,SUBST,NOUN,obl,chronimy,False,False,False
-,-,INTERP,PUNCT,punct,chronimy,False,True,False
skrzynki,skrzynka,SUBST,NOUN,nsubj,czysta,False,False,False
lęgowe,lęgowy,ADJ,ADJ,amod,skrzynki,False,False,False
czysta,czysty,ADJ,ADJ,conj,chronimy,False,False,False
wisła,wisła,SUBST,PROPN,nsubj,czysta,False,False,False
na,na,PREP,ADP,case,pradze,True,False,False
pradze,pradze,SUBST,PROPN,nmod,wola,False,False,False
południe,południe,SUBST,NOUN,flat,pradze,False,False,False
wola,wole,SUBST,NOUN,obl,czysta,False,False,False
na,na,PREP,ADP,case,koła,True,False,False
2,2,NUM,NUM,nummod,koła,False,False,True
koła,kół,SUBST,NOUN,nmod,wola,False,False,False
!,!,INTERP,PUNCT,punct,chronimy,False,True,False
kontraruch,kontraruch,SUBST,NOUN,nsubj,chronimy,False,False,False
rowerowy,rowerowy,ADJ,ADJ,amod,kontraruch,False,False,False
w,w,PREP,ADP,case,dzielnicy,True,False,False
całej,cały,ADJ,ADJ,amod,dzielnicy,False,False,False
dzielnicy,dzielnica,SUBST,NOUN,nmod,kontraruch,False,False,False
bielańska,bielański,ADJ,ADJ,amod,plaża,False,False,False
plaża,plaża,SUBST,NOUN,conj,kontraruch,False,False,False
nad,nad,PREP,ADP,case,wisłą,True,False,False
wisłą,wisłą,SUBST,PROPN,nmod,plaża,False,False,False
chronimy,chronić,FIN,VERB,ROOT,chronimy,False,False,False
jerzyki,jerzyk,SUBST,NOUN,obj,chronimy,False,False,False
i,i,CONJ,CCONJ,cc,wróble,True,False,False
wróble,wróbel,SUBST,NOUN,conj,jerzyki,False,False,False
na,na,PREP,ADP,case,pradze,True,False,False
pradze,pradze,SUBST,PROPN,obl,chronimy,False,False,False
-południe,-południe,SUBST,ADJ,amod,pradze,False,False,False
-,-,INTERP,PUNCT,punct,chronimy,False,True,False
skrzynki,skrzynka,SUBST,NOUN,obj,chronimy,False,False,False
lęgowe,lęgowy,ADJ,ADJ,amod,leczenie,False,False,False
leczenie,leczenie,SUBST,NOUN,nmod,skrzynki,False,False,False
i,i,CONJ,CCONJ,cc,sterylizacja,True,False,False
sterylizacja,sterylizacja,SUBST,NOUN,conj,skrzynki,False,False,False
wolno,wolno,ADV,ADV,advmod,żyjących,False,False,False
żyjących,żyjący,PACT,ADJ,acl,skrzynki,False,False,False
kotów,kot,SUBST,NOUN,iobj,żyjących,False,False,False
ćwiczenia,ćwiczenie,SUBST,NOUN,nmod,skrzynki,False,False,False
dla,dla,PREP,ADP,case,seniorów,True,False,False
seniorów,senior,SUBST,NOUN,nmod,ćwiczenia,False,False,False
na,na,PREP,ADP,case,siłowniach,True,False,False
otwartych,otwarty,ADJ,ADJ,acl,siłowniach,False,False,False
siłowniach,siłownia,SUBST,NOUN,nmod,seniorów,False,False,False
rozwijamy,rozwijać,FIN,VERB,conj,chronimy,False,False,False
wolskie,wolski,ADJ,ADJ,amod,maluchy,False,False,False
maluchy,maluch,SUBST,NOUN,obj,rozwijamy,False,False,False
skarby,skarb,SUBST,NOUN,nmod,maluchy,False,False,False
woli,woleć,SUBST,VERB,iobj,rozwijamy,False,False,False
.,.,INTERP,PUNCT,punct,chronimy,False,True,False
czego,czego,SUBST,PRON,iobj,wiesz,False,False,False
nie,nie,QUB,PART,advmod:neg,wiesz,True,False,False
wiesz,wiedzieć,FIN,VERB,ROOT,wiesz,False,False,False
o,o,PREP,ADP,case,dzielnicy,True,False,False
swojej,swojej,ADJ,DET,det:poss,dzielnicy,False,False,False
dzielnicy,dzielnica,SUBST,NOUN,obl:arg,wiesz,False,False,False
?,?,INTERP,PUNCT,punct,wiesz,False,True,False
chronimy,chronić,FIN,VERB,ROOT,chronimy,False,False,False
jerzyki,jerzyk,SUBST,NOUN,obj,chronimy,False,False,False
i,i,CONJ,CCONJ,cc,wróble,True,False,False
wróble,wróbel,SUBST,NOUN,conj,jerzyki,False,False,False
na,na,PREP,ADP,case,bielanach,True,False,False
bielanach,bielanach,SUBST,NOUN,obl,chronimy,False,False,False
-,-,INTERP,PUNCT,punct,skrzynki,False,True,False
skrzynki,skrzynka,SUBST,NOUN,obj,chronimy,False,False,False
lęgowe,lęgowy,ADJ,ADJ,amod,skrzynki,False,False,False
czyste,czysty,ADJ,ADJ,amod,powietrze,False,False,False
powietrze,powietrze,SUBST,NOUN,nmod,skrzynki,False,False,False
dla,dla,PREP,ADP,case,targówka,True,False,False
targówka,targówka,SUBST,NOUN,nmod,skrzynki,False,False,False
-,-,INTERP,PUNCT,punct,nasadzenia,False,True,False
